@relation training_gesture

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label{up,down,left,right,tilt_left,tilt_right}

@data
-274,-131,1523,-29329,-10060,14878,65,-27,166,38231,-52317,-27987,-85,968,-1552,144817,2804,33841,766,-487,-1501,-85365,-57743,-10487,-605,-410,71,24146,123780,-17804,4,-428,376,-87926,22743,18292,10,-76,142,-38170,-4512,-5731,4,317,63,-21646,37256,34939,-29,24,801,-22195,39878,6890,389,174,480,-24085,-44878,-59146,-349,276,57,69573,-3963,-16158,195,-284,-212,-8292,-52012,-13658,-109,284,-279,10609,-144512,18353,-111,-258,-142,32012,144512,29817,112,70,9,-4939,-2560,-6097,4,-12,-2,2317,1402,-60,5,0,-3,-1158,-853,-121,-8,4,2,2073,1585,243,8,-2,-3,182,182,60,2,-6,-7,-1158,-853,-60,up
-339,-114,1483,-4817,-21036,2926,161,-23,-88,15731,-20121,-16646,18,750,-1486,107317,-31280,40304,133,-679,-542,-39878,-27987,-12621,87,-105,-771,731,17134,-11341,-90,-288,240,-75731,97439,-4085,-62,-91,332,-35914,62743,-7987,-144,534,584,-35975,30365,20182,320,-86,207,-13414,-57621,10731,20,168,427,3536,3170,1402,13,-128,272,16585,-32012,-43963,-103,153,-175,54939,13536,26402,519,-334,-466,21646,-82073,-35670,-486,175,7,-13353,49146,26219,-61,76,-14,3719,2560,3902,10,6,-7,-4878,-3719,121,-6,-11,5,60,0,-121,4,4,6,-60,-60,182,0,6,-7,-304,-243,-243,1,-6,-13,792,548,365,up
107,-93,1051,-9512,-18780,37865,-201,-84,545,-2560,-18475,-41951,58,799,-1463,134634,-20914,13170,-193,-411,-604,-107621,-15487,-44695,31,-523,-520,37560,35792,15853,-257,177,18,3597,52012,5121,480,-360,111,-54756,-8292,36280,-252,416,237,-20243,52134,4329,237,-497,325,-69756,-28048,-8292,-89,581,621,8963,28231,-6768,-209,201,564,38841,16951,-8109,289,-106,-412,-4756,-48658,-24329,68,663,-246,116768,-104695,30243,-66,-734,-203,-68414,80060,-12439,-8,-30,-18,-243,365,3841,9,0,9,-3048,-2560,-182,-3,7,0,121,121,-60,-5,-2,-8,-121,-121,-487,10,-3,13,60,60,487,-9,-3,-15,0,0,60,up
-340,-259,1427,-42439,-26768,26280,134,234,-138,45792,-16646,-20000,235,314,-1060,91829,-20670,5487,-125,-231,-909,-30000,-13963,-19024,298,-111,-524,-8963,-18719,-304,-263,-290,48,-25365,110853,3963,65,55,276,-35792,59878,14939,-187,62,351,-28658,12743,21951,255,114,340,-52926,-49573,-26951,-124,252,358,3719,12804,-17560,-71,-18,654,21463,14634,14878,-465,-770,603,49329,-32560,3658,790,639,-1341,21890,-60975,-30853,-209,-13,-31,9329,24817,24024,3,24,-53,-17804,4817,-487,8,-5,6,-853,-243,-121,0,4,4,426,426,-60,-8,0,7,-853,-731,121,0,-2,1,0,0,121,6,19,-17,-121,-182,-60,up
-166,-313,1235,-18414,6524,30121,-16,185,197,4573,-40365,-39329,229,661,-1607,73475,-51585,21707,85,-521,-656,-5365,9207,-14573,-179,-213,-218,12317,72743,6341,129,64,61,-57134,20487,792,-37,-143,314,-54390,22195,4695,-130,301,506,-3414,26036,3841,-51,-147,348,-9756,-34451,11280,166,34,14,2804,-12439,-23048,-129,60,453,32500,14939,-7743,104,127,-308,33353,-17743,9024,335,-109,-358,-9634,-31890,-31097,-435,73,76,8048,22500,22682,98,-68,-62,-9756,-5853,3536,0,-10,3,1707,1280,1768,-7,6,-11,-792,-1219,-60,-2,10,5,0,60,-5000,3,-17,1,0,-304,4939,21,-4,9,-60,60,0,up
-544,-342,1471,19878,14512,82500,438,208,-246,3048,-50914,-109268,-150,334,-948,52012,-670,20243,479,99,-785,90182,-45670,17743,-2,-554,-846,-105609,-7987,-53048,-286,-214,201,-53536,101524,31829,-30,-22,262,-40304,36890,18780,-143,82,563,-59512,16768,23170,73,190,242,-731,-17865,4573,284,70,78,975,-25731,-36646,22,309,560,18109,5548,-42560,-406,0,161,43536,22621,17621,476,-353,-822,30670,-80365,-42560,-427,75,208,12804,55975,61036,189,133,-94,-10914,-24085,11158,73,-78,-1,2560,2073,-15243,-66,90,-9,243,-60,10060,0,13,-4,-6036,-4756,-9573,-4,-25,1,-792,-487,7012,-2,9,0,1768,1402,3109,up
-411,-356,1403,3353,-104817,42317,71,407,-256,36463,8414,-62560,39,212,-933,64451,52195,43292,85,-307,-779,-53658,-23109,-20670,198,-78,-545,12560,33719,-18963,-246,-105,-12,-36341,36402,20365,254,-124,48,-50487,3292,20000,-29,274,431,-20853,58536,19390,-6,0,548,-43841,-13780,-29573,63,-2,335,8536,8536,-12195,87,252,402,44207,24390,-2682,-67,-138,50,2317,-20182,-9634,361,-230,-764,44451,-105487,-50914,-569,291,53,-14756,37682,67012,178,-109,19,4390,6707,-4756,-3,-10,-11,243,-60,-365,-5,7,3,365,-914,-182,-43,75,-4,365,-182,304,54,-78,20,-243,-243,-121,-6,1,-1,121,60,121,up
-236,-377,1295,-5792,-21585,73963,-27,49,267,11707,12500,-96158,79,813,-1616,77987,-52378,-9024,539,-316,-769,3536,-32743,27804,-341,-342,-250,-27987,53109,-13780,-61,-231,-167,-52012,15731,18353,62,71,259,-38231,60426,15060,-420,602,744,-24451,60365,41707,614,-317,348,-6463,-91341,-83048,-389,59,353,33109,81890,63902,48,-70,199,-3536,-25792,-47073,186,113,-185,26158,-37134,-365,-612,-429,252,17439,-86524,6524,460,327,-740,-12500,61951,14207,97,63,8,792,1585,-12500,9,-18,-5,365,243,365,-9,-4,7,-304,-426,0,3,7,1,121,60,60,0,14,-5,-60,-60,-365,44,-61,9,-60,0,-7317,up
-375,-222,1152,-31280,7378,62926,28,95,250,20670,-40975,-75487,90,666,-1374,76585,-57134,-10000,300,-167,-695,-27804,-5304,38231,-172,-466,-273,36646,65426,975,-91,-20,-97,-28170,28719,1524,189,-358,224,-78170,5853,8170,-270,355,373,18780,98536,27499,215,88,305,-84756,-56097,-66585,-37,35,404,41707,-12256,11524,30,287,228,31646,5792,1097,-43,-109,-95,-9999,6585,7926,128,-38,-163,45670,-2378,14451,299,-33,-272,10121,-54207,-52195,-343,-63,36,-21402,10975,38170,12,-10,-10,-121,-731,-548,-11,15,0,0,0,-60,10,0,-5,-243,-304,0,-8,-1,11,121,304,-4573,2,-2,-13,304,121,4634,up
14,13,1041,-28536,-25853,59512,-463,-359,653,-24268,-12500,-104329,214,1045,-1406,182073,-9085,112500,431,-880,-1198,-109390,-74512,-75304,-54,166,-467,78292,60914,40487,-119,-351,269,-75792,73231,-42743,1,-21,452,-48048,51280,13963,-252,320,455,14512,42926,23231,358,-153,34,-51341,-70304,-8841,-231,224,212,-7560,6768,-304,17,72,553,13780,7987,-25792,179,22,-131,38048,-15670,3841,0,-89,-224,4085,-24817,-8536,-121,-2,-185,34573,-71951,9573,12,16,-81,-22134,59329,3353,75,-3,28,2500,2743,-2621,-64,-13,-3,-426,-365,2012,86,103,25,-6280,-5000,-792,971,126,1447,26646,18841,3536,-1059,-229,-1470,-20243,-13780,-3475,up
-51,246,-1382,74085,-6097,6768,325,-353,1487,-35853,40060,2804,955,-11,-304,-80487,-108536,-49268,-607,340,244,13963,106646,4207,-515,-288,810,33109,34268,82682,355,-159,-613,-42621,-102682,-37865,-307,315,318,15426,15487,1402,-78,4,14,-42987,-15731,-8231,246,159,-689,60182,13658,3658,154,-415,-484,-42682,-31463,-38414,-520,354,163,70609,69146,32073,0,16,441,-1768,5975,13231,148,-190,93,-24878,-23963,182,-84,50,-108,3109,-14573,-30670,18,3,-7,7073,7195,11097,2,41,-13,7865,14451,6280,-6,-31,47,-17804,-1402,121,-21,1,-4,-243,1585,3353,3,22,-11,3170,-5853,-5000,67,-30,-48,-8902,-4756,-60,down
-13,-161,-1179,-2682,-24451,-12865,76,215,614,24634,57317,14512,-4,-50,1665,-33719,89512,23109,76,191,-86,-15609,-79207,-15914,24,-428,-640,25060,-44268,12926,-99,354,-48,16707,-26890,-34024,36,-77,-94,-6036,-13109,1707,-144,-54,-270,19390,16219,14268,-8,-103,-215,-6829,13353,-4146,-25,68,67,22378,28902,9451,1,6,22,-27134,-13658,-14329,-89,-2,138,-5670,8719,3170,49,-51,72,-11402,-12682,914,103,-26,-30,6097,-1951,9024,-36,40,2,6951,8475,-2804,-31,-36,73,-853,7195,731,2,69,-59,-1280,-3536,-2865,0,-28,-8,1219,-5548,-1585,26,-22,11,-2195,-609,609,-51,37,20,3048,2804,243,down
71,-130,-1367,-2195,-37682,-16646,115,408,874,35853,39268,37378,90,-697,1794,-116036,70060,-670,-159,294,-93,76768,11768,15975,112,38,-957,15365,-99573,-28231,-67,245,-77,-13963,-41646,-16158,-55,-47,-144,4329,18414,13170,-95,-210,-288,19207,28231,731,-42,93,-88,2500,20548,-11585,-24,0,165,-19939,-2317,-4756,8,-8,168,-8536,-2621,2682,24,61,-30,5365,-7987,2804,50,-86,15,-1890,-1707,6097,-18,-20,67,-1890,5000,243,13,29,-37,9939,7499,4817,-6,-7,-18,-4451,-2926,-4268,0,18,-20,-3170,-2560,-2621,-8,-28,50,-4207,792,1524,10,22,-21,6158,-1463,914,20,-22,10,-2804,-2256,-304,down
22,159,-1045,-16280,-11219,-2560,240,233,301,23292,19878,16219,-43,-912,2252,-33780,83353,53963,-168,395,-338,26341,-94390,-62073,86,153,-898,16097,-2317,304,33,183,-249,-4024,-35975,-16219,-43,-118,-123,-23719,10853,2743,-84,-87,-91,25304,34634,14146,-14,-34,-50,14939,2378,-9756,-31,65,73,-6402,-5487,-6585,20,-26,71,-13475,-5304,7560,-16,-37,35,-10426,-670,-5060,69,-43,34,426,5548,8048,-26,-4,56,4817,11097,1402,20,73,-40,2439,-8353,-1341,-21,-19,2,-7378,-7317,-5914,-2,-24,2,3780,670,243,3,28,-42,975,1036,2012,-15,-22,41,-1158,4146,1158,2,4,-6,182,-3719,-426,down
342,60,1043,-60,82804,48841,-242,-14,311,-44939,-21646,-23353,262,-91,-1362,52865,-72012,-8780,-244,65,540,-15914,2073,-21646,63,15,-228,-11890,-27621,-17439,-142,97,-518,27134,22987,14939,-64,-120,-150,11768,9024,7743,-9,124,40,11951,-2256,-1524,49,-98,94,-19695,-1768,-731,13,-12,192,-12987,4999,5121,-34,8,31,-1341,609,-5487,-9,-44,28,-4878,1463,1158,9,-6,6,10304,6951,8231,-3,30,-40,2500,-2682,-3475,23,17,-24,-3353,-6036,-3597,-39,-8,20,548,2439,-60,-8,-48,24,-4695,-2134,-182,13,51,-35,6890,2500,2560,-13,-26,36,-5365,426,-1097,-6,4,-1,-304,2378,1280,down
-3,19,-1172,-22500,-16707,-6890,326,704,437,10670,-3658,-25243,-302,-466,1744,10060,85060,32560,-161,-22,28,-17682,-33231,-1524,443,-405,-816,36158,-62134,17560,-205,250,-70,-11768,3109,-20000,79,49,-180,-426,15914,5731,-54,-58,-149,609,-1829,-6158,-102,10,-93,17317,6585,-5914,1,-52,-20,-13170,-9024,1829,-87,13,178,-3780,9695,6890,52,-54,110,-15000,182,-6158,43,18,1,7621,4695,3780,7,22,-32,2195,-5060,3597,-35,-28,27,60,8231,731,-48,0,24,-4451,4939,-2195,66,11,-43,4390,-6707,2073,20,10,-4,304,-4878,-609,-38,-8,18,-2134,4512,-2926,14,2,-7,3841,-426,2378,down
-228,162,-996,-7500,-15000,4634,650,291,-166,-65243,-31280,-45304,19,-529,2292,-27682,132865,36463,-163,303,-537,132621,-126097,8841,96,-159,-733,27621,-4512,18841,-185,117,283,-38780,-12865,-43658,13,-75,-238,-3902,-1341,5426,-162,-56,11,-4451,32865,8597,-7,-94,-122,-3963,11768,-7195,-160,82,44,365,16524,-4024,98,-67,-38,-7865,-11768,12195,13,-8,130,2317,7378,7134,-15,8,68,-5914,304,-4512,-48,34,53,-914,1402,-2500,21,-18,-47,-1158,-2987,2804,12,-18,-35,3841,-1585,3292,20,-28,21,-3048,2317,1402,-23,3,61,670,6768,1463,7,54,-62,2987,-3292,-3475,11,-54,-18,-4024,-121,-243,down
86,14,-1361,-17560,-58109,-23292,355,73,614,72926,103048,69817,-387,-148,2810,-152865,13353,-84756,242,35,-1590,109146,-107560,35060,-104,221,-307,3902,43841,17865,-76,-24,129,-13231,-24756,-21646,-53,11,-283,-2926,487,-8475,2,-77,-315,15975,9207,13597,29,-77,28,9573,17621,-670,-119,62,148,-9817,3841,1768,-16,-71,66,-14939,-5548,1219,52,-5,98,-487,7926,1524,50,97,-5,2012,-2073,-1585,-24,-60,34,-2012,-1158,-1585,-27,-12,0,2987,3231,-1707,-7,3,-18,5792,426,1463,16,43,-53,-2804,-8963,-792,32,-71,38,-11280,60,914,-36,11,-12,10548,7500,3170,22,35,2,-2012,-365,-1280,down
-114,83,-1181,14512,-49390,-26280,442,-147,418,38231,76768,88109,-385,-278,2106,-72195,47500,-53658,178,177,-880,-5000,-73170,-2317,152,75,-408,26646,-24451,1158,-143,143,212,-14024,-9146,-25182,-22,57,-148,-1524,-20060,-5121,-24,-6,-395,27987,19512,23658,-40,-151,-36,0,25426,6890,-128,4,131,5426,16402,-7804,4,-23,113,-17439,-8048,-548,67,-8,8,-6097,-8231,792,18,38,62,-426,-2134,-2134,10,-40,13,-5000,1341,121,-43,25,6,5000,8109,60,13,3,-19,-1158,-2073,-365,6,15,-13,2682,1646,1036,0,19,16,-1158,-304,670,-14,-59,54,-2439,121,1463,1,51,-33,8048,-1158,914,down
