@relation smoothed_train_data

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {up,down,left,right}

@data
-167,206,2456,22987,-101768,34756,-271,-202.5,2189,-518.5,76920.5,10122,-934.333333,-289,-1018.666667,-80508,173170.3333,-8150.333333,-386.25,-184.75,-961.75,-1204.25,-10366,8247,-128.6,-27.6,418.4,37597.4,-87061,866,89.4,20.6,116,25402.6,-34744,-6170.4,128,122.4,-799.8,-963.2,-41585.4,-4938.6,522,292.2,627.8,50646.2,-103695.2,7049,305.8,132.4,773,4548.6,10963.2,-4792.4,108,25.6,-402.8,-36756,86219.4,97.8,-65,-68.2,-608,-29463.4,53634.2,451.2,-28.6,-47.4,-73.6,1561,10561,1292.6,27,-124.8,-15.8,-1475.4,-597.2,-2451,-6.4,9.2,-3.2,-3438.6,-2243.6,-1390.2,10.6,-5.6,-12.8,-889.8,1670.8,-670.6,0,0,1.6,-524.2,1585.4,-1231.4,-1.6,-0.8,0.6,-378,487.8,-109.6,2.8,0,-0.6,-744,207.2,621.8,0.4,-1.6,-0.2,-280.6,-500.2,341.4,2,-3.2,0.6,-268.4,-49,280.4,up
-246,-44,1478,31951,-80182,-3536,-145.5,-563.5,1736.5,18627.5,-17164.5,305,-564.333333,-129,-476.333333,-82073.33333,144613.6667,18983.66667,-184,-103.25,-807.25,-18232,38643.25,594.5,-50.6,48.4,-413,5975.2,-14414.6,3853.6,-13.6,22.4,-268.8,17597,-33268.4,-3780.6,72.2,176,-306.8,14170.4,-40707.4,-4122,403,112.2,554.8,59707,-104487.8,-9012.2,-81.2,79.2,665,15109.6,-28146.4,-926.8,57,-35,443.6,-7195,14512.2,-4000,63.8,-14.8,-38.8,-22914.4,46670.8,5768.2,-13,52.4,-392.8,-20768,46244,2451.2,-63.6,-31.8,-271.6,-10036.4,16036.8,-2902.6,228.4,6.4,-18.6,0,-3268.2,-268.4,-7,-11,-34.4,1646.4,-1243.8,-634,-1.6,4.6,7.4,-292.6,2121.8,-1890.2,-1.6,-2.8,4.8,-585.2,1109.6,1109.6,-0.8,-2.2,-1.6,85.4,573,-36.4,-1.6,-0.2,0.4,-255.8,-61.2,463.4,0.2,-2.2,0.6,-73.2,694.6,451.2,up
-695,300,1601,11829,-132743,3658,40.5,-67,1259,-3719.5,31585.5,-8719.5,-334,-148.666667,-132.666667,-45731.66667,109918.6667,5955,-141.75,-66.75,-761.25,-18247,62195.25,5624.75,-57.6,9.6,-575.4,-4817.2,2561.2,3170.6,76.4,-50.4,-372.6,15438.8,-28841.4,-1073,-1.4,26.2,-114.6,23841,-60780.4,3682.8,268.4,57.6,342,36060.6,-84902.4,-7536.4,123.2,59.2,657.6,12219.2,-45110,-5158.4,48.6,-10.8,582.4,3999.6,-927,-2707.4,70.2,-4.6,59.4,-17219.8,56695,170.6,-10.4,0,-390.8,-20792.8,45914.8,-841.4,-66,35.6,-257.8,-7317.2,18158.8,2817,-5.2,-7.2,-39.2,2548.8,-3999.6,1146.2,13.4,2.6,-5.2,1048.8,-1451,-548.6,-4,-4.6,-6.2,-499.8,-1560.8,170.6,1.8,-0.6,5.6,-1572.8,2329.2,719.2,1.6,-5.2,-1.6,-1060.8,963.2,902.2,0.2,1,-7.8,-231.6,-853.8,-451.4,0.4,-1.6,1.4,-207.2,-512.2,-36.8,up
-188,-45,1754,35304,-72378,-18597,74,-359.5,1196.5,13231.5,51554.5,-5122,-414,-108,-424.666667,-54654.33333,119207,15670.66667,-172.25,-10,-820,-17637.25,33185.75,8140.25,-51.6,43.4,-429.6,1963.2,-24012.2,451.4,-26,-13.2,-73.4,12853.6,-44597.4,-853.4,34.6,156,-254,-1329.4,-42499.8,122.2,268,64,393.4,34707.2,-78134,-11146.2,139.8,28.2,650,10695.2,-26097.6,-4524.4,46.4,-38.4,416,-268.2,25170.4,-1341.6,65.8,28.6,-269.8,-18365.6,60450.6,4548.4,-63.2,-6,-227.6,-2975.2,22182.6,1573,-15,9,-137,-1536.2,6817,1353.8,1.8,-13.8,3,3402.8,-24.4,-1731.6,9,-0.4,16,-1975,-999.8,1061.2,0.6,-0.8,-16.4,-1658.2,-365.6,853.8,2.6,0,3.8,-853.6,219.6,475.8,-0.8,-3.2,-2.2,-110,305,170.8,0,1.4,2.4,-158.8,-133.8,-207.2,0,1.2,-3.8,85.2,-158.2,109.6,up
-351,-450,3180,51646,-68048,-10609,-492.5,-278,812.5,-46920.5,135854,30030.5,-374.666667,-107.333333,-773.333333,-60142,119207.3333,-223.333333,-102.5,-40.75,-781.25,-4847.5,8079.5,-899,-118.6,-22.6,-96.8,18817,-56853.4,1061.2,-29,66.2,-247.8,13634,-53792.4,-3841.2,216.6,112,-85.8,21573,-77560.8,-15633.8,212.4,65.2,524.6,34756,-69219.4,1048.8,46.6,36,612.2,1683,-6146.4,-146.4,108,20.4,103.8,-17146.2,58073,-183,86.8,26,-392.2,-24450.8,67182.6,5475.4,-30,-0.2,-239.6,-1975.4,23975.4,3292.4,2,-0.2,-58.6,1963.6,-853.8,-1061.2,25.8,-4,10.4,2732,-158.6,573,1,4.4,-12.4,-1414.2,-1524.4,-1219.4,2.4,-4,6.4,792.8,1060.8,658.4,1.4,-0.2,2.8,-402.4,-268.4,-121.8,1.4,-1.4,-1,-451.2,-1341.4,-121.8,1.2,-1,5.4,-317.4,390.2,-109.6,0.4,-2.8,2.2,231.2,122,-24.6,up
45,-25,1930,33414,-67317,3231,-201.5,-283,1498,-16067,50853.5,8139.5,-487,-153.666667,-539,-63211.33333,128089,304.666667,-143.75,-121.5,-901.5,-22423.75,30076,533.25,-71.8,10.8,-406,10902.4,-32792.8,7170.4,-127.8,13.2,-18.6,16012.2,-54451.2,-1463.6,128.8,160.8,-380.4,6804.8,-37231.8,-4304.8,312.8,106.4,440.8,43292.6,-78975.6,1121.8,104.8,64.4,695.8,19231.8,-21414.8,-1329.2,70.2,2.8,421.8,-8878,34512,-7695,117.8,-7,-360.6,-22573,68390,1463.4,-46.4,-42.4,-211,-475.4,17292.8,1048.8,-22.6,-6.4,-114.8,-4719.4,2390.6,-1841.2,10.6,38.2,33.4,-1963.4,-1499.6,1219.6,2.8,-8,-18.2,-2487.8,-1572.8,488,2.8,4,-2.6,-512.4,24.6,-706.8,-0.4,-0.2,-0.8,72.8,109.6,49,3.4,-4.4,0.2,-683,-110,585.4,1,-3.2,-2.6,36.6,-732,-12.2,1.4,-0.2,5.2,-73.2,97.4,292.8,up
-142,-45,1167,27926,-57073,-914,137,-42.5,895.5,-244,2286.5,1585.5,-324.333333,-91,154.666667,-46321,84756,11544.66667,-121.5,-132,-778.75,-30045.75,69862.5,-5655.5,-55.2,-27.4,-548.2,-4170.8,6560.8,1390.2,-16.8,50.8,-268.6,10524.4,-36146.4,-1756.2,-77.8,15.8,-49.2,13463.4,-40219.6,-1841.6,214.2,112.6,66.8,31500,-69134.4,-5597.8,86.4,148.6,669.4,23390.4,-58463.6,4219.4,44.4,45,541.4,219.8,-4037,-2122,42.6,-31.8,36.4,-12694.8,48902,2536.4,20.8,12,-314.6,-9317,41280,561,-18.4,-47.4,-151.2,-2719.4,20060.8,-1329.2,13.6,-33.4,-37,-573,4463.2,353.4,11.6,-10.2,3.4,4341.4,-1548.8,731.6,9.2,-3.6,6.4,-2573.2,316.8,256,8.8,-2.8,10,-3304.6,-1817.2,317,3.4,-6,-3.2,-487.6,-1853.8,-146.4,3,-0.6,-5.2,1524.6,-2182.8,-414.4,5.2,-2.2,3,-194.6,-939,-244,up
30,301,1573,49756,-65243,8475,-120,-181.5,1310.5,-3750,37561,-5914.5,-349.333333,-172.333333,-291.666667,-40406.33333,117723.3333,-183,-166.5,-143.75,-868.75,-14649.5,39679.75,-4207.25,-67.8,15.6,-449.2,2804.6,-23597.6,5963.4,-81.8,-78.2,-64.2,13036.2,-50134.2,-12,55.8,111.8,-227,10597.2,-42170.8,1975.8,212.6,126.8,286.4,23085,-65573.2,-816.6,108.4,130.2,679.2,9280.4,-31512.2,3915,62,-14,446.6,-1512.2,25438.8,-5536,74.2,9.6,-248.4,-19304.8,67463,-1658,-2.8,-41.6,-282.6,-7573,28731.6,524.6,1.2,-29.2,-107.6,1695.2,-2719.6,1317,26.6,-20.6,16.2,4121.8,1329.2,-219.4,18.2,-14.6,2.4,-609.8,-585.2,-1317,3.8,-11,-3.4,-2378.2,-7536.2,-2743.8,-3.6,-6.6,1.2,-2500.2,-5280.2,-353.4,-4.4,-10.4,7.4,-1085.6,244,-24.2,-2,6,-3.2,-3109.8,-3280.4,-97.4,-21,-0.2,24.2,-719.6,-3378,-292.6,up
45,325,961,-853,-30000,-21890,4,-135,1130,18353.5,19908.5,-9268.5,-370.666667,-113.333333,-43.666667,-39573,115548.6667,7784.333333,-194.25,-164.5,-995.75,-29237.75,67576.25,-1936,-30.8,7.2,-499.4,2963.4,-12317,4719.4,-41.8,-67.2,-74.8,23194.8,-50109.6,7243.8,11.2,60.8,-264.4,1195,-40243.8,3585.4,241.6,93.4,161,29707.2,-86158.4,-2219.6,162.8,139,823.2,22707.4,-53073.2,4816.8,30.2,9.8,503.4,-1439,17341.2,-73.4,22,18.8,-144,-23499.8,59451,-1780.6,-10.4,7,-207.2,-7012,34439,1109.8,-19.2,-19.2,-159,-4585.2,18427,-1085.2,-5,-0.2,-43.4,-134,1012.4,-1829.2,3,-6.6,-26.2,-2560.6,-3389.8,-3231.4,12.4,-6,0.8,1536.8,-1438.8,414.6,-2.6,-11.8,-1,878.2,609.8,1121.6,-0.2,2.4,0.6,-1914.6,268.2,195,-2.6,-0.4,-5,804.6,158.4,-414.4,-2.2,-2.4,-2.2,2084.8,1499.8,-244,up
-207,24,1218,29756,-93292,4268,-403.5,-598.5,1672.5,22408,-21494,-4420.5,-500.666667,-167,-505.333333,-84065.33333,160162.3333,20264.33333,-164,-167.75,-889.25,-6921,35198,-6752.75,-83.4,30.8,-399.8,8621.6,-28561,5744,-37.8,1.2,-41.6,19499.6,-42500,-4524.2,163.2,227.8,-409.2,2280.4,-22548.8,-1585.4,308.2,71.2,466.8,54280.4,-109280.4,-15000.2,127,97.8,752.4,5487.8,-28622,6231.2,75.2,-46.4,395.4,-8890,28597.4,-6561.2,73.8,-9,-188.2,-27072.8,61328.8,3450.8,-9.4,4,-254.6,-12036.4,29951,2926.6,-11.8,21.4,-167.2,-5134,11939,2878,1.8,27.8,-44.6,-1158.6,-841.2,-451.2,5.2,6.8,10,-378.4,-475.4,987.8,-1.6,-2.6,-19.6,646,-2182.4,219.8,1.4,-2,-8.4,-683.2,-694.8,1048.8,-3,-2,4.4,365.4,658.6,427,-4,3.8,5.4,682.6,731.4,-390,-1.6,0.6,-4.6,414.4,-463.6,73.2,up
