@relation all_train_data

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {up,down,left,right}

@data
-167,206,2456,22987,-101768,34756,-375,-611,1922,-24024,255609,-14512,-2261,-462,-7434,-240487,365670,-44695,1258,128,-791,236707,-560975,57439,902,601,5939,192804,-393841,-28658,923,447,944,-37987,159817,-426,-182,-102,-2657,-155853,221402,-8353,-291,387,-296,17560,55121,15243,177,-671,-65,6219,12317,-1768,-87,67,60,-13719,-17560,-4207,58,-22,-82,-1524,-3109,1341,0,2,15,-731,6036,-4146,-13,0,-7,2378,-670,-3475,10,-1,-2,-3597,4085,3536,-2,-7,12,-975,2012,-609,5,6,-10,304,-3536,-1463,-8,-2,10,0,548,1463,9,4,-13,548,-2073,182,-2,-9,0,-1280,548,2134,6,-15,16,-914,4268,-914,up
-246,-44,1478,31951,-80182,-3536,-45,-1083,1995,5304,45853,4146,-1402,740,-4902,-283475,468170,56341,957,-26,-1800,173292,-279268,-54573,483,655,1164,102804,-226646,16890,-61,-174,2199,90060,-174451,-41707,384,-315,1805,-11829,8658,2439,252,421,-594,-55792,149268,31890,-1464,-191,-1249,-49695,102439,-14146,1174,84,57,-8719,-13353,1524,-27,-73,-213,11463,-13658,7134,0,21,35,-1097,6524,-14146,-1,0,12,-2134,-1768,5121,-4,0,16,487,5914,-975,-3,-3,-22,-487,-3231,-304,0,5,-4,1768,3170,853,0,-16,22,-2560,1463,853,3,3,-20,1219,-4451,-609,-8,10,26,-1219,2743,1524,6,-13,-21,426,548,-365,up
-695,300,1601,11829,-132743,3658,776,-434,917,-19268,195914,-21097,-1083,-312,-2916,-129756,266585,35304,435,179,-2647,64207,-80975,4634,279,315,168,48902,-235975,-6646,-25,0,2615,113109,-289756,-17560,387,-51,2207,22743,36219,2682,266,-155,-633,-68658,145975,-20792,-291,187,-1069,-55000,117987,16524,-94,-35,-208,7804,-15060,5609,83,31,0,7012,-1646,-3170,-16,-28,-44,4878,-17682,-2378,-12,23,32,-1280,7195,-2500,13,-27,24,-5670,7195,8170,-1,14,-38,304,-2317,-2865,-4,-5,-5,-731,-2195,426,13,-8,15,-487,1768,365,-13,0,-4,1280,365,-1585,6,4,-7,-1524,-1890,1402,0,1,8,426,-609,-792,up
-188,-45,1754,35304,-72378,-18597,336,-674,639,-8841,175487,8353,-1390,395,-3667,-190426,254512,57256,553,284,-2006,93414,-224878,-14451,431,257,1132,80365,-252804,-30304,-60,-328,3535,89756,-175304,-25121,639,172,-264,-79756,185975,13231,-223,-65,-430,-10243,76341,914,-88,105,-723,-26646,35304,18658,-36,-76,-38,25548,3536,-14390,37,7,106,-731,1097,4329,-6,-1,-53,-2804,-5365,-1646,18,10,23,-3048,-487,-182,-4,-9,-23,-1951,1097,3231,0,-9,27,-1341,-1341,-426,-5,5,-56,853,4268,3292,4,3,48,1219,-2439,-3536,1,-6,-7,670,-60,-1707,0,14,0,-2195,-1097,1341,0,-10,-4,-121,-1463,1158,up
-351,-450,3180,51646,-68048,-10609,-634,-106,-1555,-145487,339756,70670,-139,234,-3945,-86585,85914,-60731,714,159,-805,161036,-325304,-2926,-183,50,2641,113475,-316585,8902,97,-6,2425,25731,-52743,-35121,594,123,-745,-105792,220914,11707,-160,0,-893,-20670,127621,22682,-115,13,-367,-4329,-9939,-8902,124,-28,99,19329,4512,8719,-9,22,-55,-10792,-7195,-6829,10,-8,18,6585,4878,792,0,0,12,-975,3475,914,4,-6,-22,-487,-6463,-731,0,14,-15,-1402,-2317,-243,-2,-20,39,243,5731,2560,5,11,0,609,-1768,-3109,0,-6,-7,-1219,-1890,914,3,-4,10,182,2195,-670,-4,5,-31,1341,-3658,182,up
45,-25,1930,33414,-67317,3231,-448,-541,1066,-65548,169024,13048,-1058,105,-4613,-157500,282560,-15365,886,-25,-1989,99939,-263963,1219,216,540,1576,144207,-284268,33719,-235,-13,3867,58963,-175609,-39939,835,197,-743,-111585,255121,-1158,-138,-167,-507,24939,73841,11768,-154,-235,-714,-20365,23841,-11036,43,232,206,3658,-4634,1890,3,-62,-45,-9512,-6219,5853,14,20,5,-1097,-365,-3231,-19,13,-26,3719,-670,-2682,12,-12,27,-6585,4390,4268,4,1,-52,1036,-5000,-1768,3,-2,33,365,1768,-121,-2,-1,14,1829,60,548,0,-8,-21,-60,-1768,0,0,-6,13,-2987,1280,1280,6,16,-13,487,-853,-243,up
-142,-45,1167,27926,-57073,-914,416,-40,624,-28414,61646,4085,-1247,-188,-1327,-138475,249695,31463,487,-255,-3579,18780,25182,-57256,210,391,374,99329,-246646,29573,50,346,2565,101402,-270609,-16646,111,-215,1721,-13719,41280,3658,213,296,-747,-48292,105121,12682,-152,-75,-566,-21768,78536,-8170,0,-127,-266,-16524,25487,-2134,41,-38,40,36829,-5914,6646,2,4,-34,3170,3170,-6219,17,-1,70,-15304,-975,3231,8,-5,5,-11036,548,243,-10,-11,-64,8048,-4573,-243,29,-5,55,2256,3414,4268,0,8,-16,-487,-7500,-5914,-10,-17,4,-1219,-1158,914,6,22,-5,-975,-1097,-1097,1,-19,-23,-548,1646,609,up
30,301,1573,49756,-65243,8475,-270,-664,1048,-57256,140365,-20304,-808,-154,-3496,-113719,278048,11280,382,-58,-2600,62621,-194451,-16280,327,653,1229,72621,-276707,46646,-40,-168,3498,100914,-197926,-21402,418,286,234,-69451,180182,-10365,-24,-79,-929,-51280,161036,-2682,-139,-41,-636,-6402,-24146,7378,95,-68,66,18658,8048,-609,21,-50,23,11951,12195,-2012,33,30,63,-10792,-13475,548,-4,-17,-54,-4939,3780,1280,-12,2,-17,5731,-3902,-304,53,-38,-3,-5000,-1524,-6097,-51,-32,-6,3109,-22560,-9146,-4,52,86,-11402,-2195,12500,-8,-36,-23,2134,9512,2926,0,84,-70,-4390,365,-670,-42,-69,134,6951,-2012,-7073,up
45,325,961,-853,-30000,-21890,-37,-595,1299,37560,69817,3353,-1120,-70,-2391,-155426,306829,41890,335,-318,-3852,1768,-76341,-31097,623,694,1486,131768,-331890,31341,-10,-47,3084,100304,-218963,-9268,228,45,351,-72439,119146,-14939,32,93,-264,-12865,77256,12865,-59,-90,-541,-33231,89085,4085,-40,48,-113,11036,20182,6890,-51,-2,-153,-10000,-8414,-17804,66,-14,35,10000,-5914,-487,-12,-38,-23,-731,-2804,1890,12,5,37,-10975,2012,365,0,16,-27,-1097,-1829,-121,-4,1,-18,10487,1341,426,-9,-43,26,6707,4329,3048,0,33,-15,-14695,-4512,-2743,0,-9,9,2621,1463,-2682,2,6,-13,5304,4878,731,up
-207,24,1218,29756,-93292,4268,-600,-1221,2127,15060,50304,-13109,-695,696,-4861,-297012,523475,69634,846,-170,-2041,224512,-339695,-87804,239,825,1558,70792,-283597,55731,21,-124,3009,84146,-162987,-47073,405,-88,289,-71036,150060,1585,30,-87,-481,-37012,89817,2560,-60,-37,-613,-19451,63597,18353,-20,104,-227,-1097,2500,-8231,14,63,91,-6768,670,2987,-11,-23,-43,4146,-6829,-1036,18,0,-44,-2500,-243,2317,8,-5,0,426,-304,1707,-3,-1,46,2804,4329,-1036,-20,16,-57,-1646,-7865,-853,4,-20,13,-2500,609,3109,-4,0,20,2743,6524,-792,3,24,5,2012,60,-2378,9,-17,-4,1463,-1646,1280,up
